y;xx;logx;sx
322,49719304756314;0,01;-4,605170185988091;0,0003162277660158989
452,22792608272573;0,02;-3,912023005428146;0,10000049999875
529,3165045028398;0,03;-3,506557897319982;0,14142170979025814
563,9062326461002;0,04;-3,2188758248682006;0,17320536943178177
515,7570523050181;0,05;-2,995732273553991;0,20000024999984375
555,3024391029718;0,06;-2,8134107167600364;0,2236070213566649
532,9966622489361;0,07;-2,659260036932778;0,244949178402378
564,0679766103075;0,07999999999999999;-2,5257286443082556;0,26457532008862805
549,7392809086008;0,09;-2,4079456086518722;0,28284288925125906
583,2357375077562;0,1;-2,3025850929940455;0,3000001666666204
593,0606152708198;0,11;-2,2072749131897207;0,3162279241306814
475,2264432606726;0,12000000000000001;-2,120263536200091;0,331662629791178
617,231349307782;0,13;-2,0402208285265546;0,34641030585131266
621,0783286653193;0,14;-1,9661128563728327;0,3605552662214213
571,8464696825268;0,15;-1,8971199848858813;0,3741658723079912
569,4813263204323;0,16000000000000003;-1,83258146374831;0,3872984637201651
551,5498212656958;0,16999999999999998;-1,7719568419318754;0,40000012499998044
581,3237788213365;0,18;-1,7147984280919266;0,4123106838295607
486,7061758267564;0,19;-1,6607312068216509;0,4242641865630423
528,1713269826157;0,2;-1,6094379124341003;0,4358900090619192
